iter	MultiClass
0	2.126515799
1	1.981652366
2	1.871564346
3	1.750692208
4	1.661100414
5	1.577575478
6	1.488504717
7	1.405404156
8	1.327266264
9	1.258454183
10	1.202672324
11	1.145964557
12	1.092603656
13	1.044749015
14	1.008761252
15	0.9677138776
16	0.9302802238
17	0.8902258325
18	0.8542458508
19	0.8209655632
20	0.7885513434
21	0.7627595992
22	0.7349815999
23	0.710045392
24	0.6866521587
25	0.6622976445
26	0.642397766
27	0.6236408299
28	0.6046025258
29	0.5823029438
30	0.56643736
31	0.5497851817
32	0.535734398
33	0.5200759966
34	0.5073689697
35	0.4936649702
36	0.480009551
37	0.465318765
38	0.4531616868
39	0.4405452368
40	0.4288718811
41	0.4170346938
42	0.4062380604
43	0.3966203277
44	0.3875465705
45	0.379630967
46	0.371808392
47	0.3645104081
48	0.356771792
49	0.3498577181
50	0.3415626134
51	0.333847592
52	0.3269437499
53	0.3203508211
54	0.3132250001
55	0.3062367106
56	0.3009538324
57	0.2942776138
58	0.2893943257
59	0.2831186087
60	0.2787885069
61	0.2733057958
62	0.2684884716
63	0.2636492522
64	0.2594939517
65	0.2547647943
66	0.2495384053
67	0.2454174101
68	0.2412086332
69	0.2371362446
70	0.2330335302
71	0.2292986154
72	0.2250773562
73	0.2211313569
74	0.2178055356
75	0.2144871349
76	0.2111033299
77	0.2077991135
78	0.2047258648
79	0.2008231274
80	0.1973280336
81	0.1945488474
82	0.1917954574
83	0.188743291
84	0.1861451051
85	0.1839655124
86	0.1811772595
87	0.1792414663
88	0.1767352913
89	0.1743867746
90	0.1726230703
91	0.1700034367
92	0.1680505846
93	0.1658468092
94	0.1636481034
95	0.1614428995
96	0.1593924553
97	0.157322647
98	0.1555818626
99	0.1536631251
100	0.151612071
101	0.149658606
102	0.1476094172
103	0.145618387
104	0.1445398038
105	0.142539197
106	0.1406320517
107	0.1387993823
108	0.1372008179
109	0.135712709
110	0.1337280846
111	0.1321676453
112	0.1304277866
113	0.129464206
114	0.127595095
115	0.1261136887
116	0.1248347046
117	0.1234949893
118	0.1220916155
119	0.1209163956
120	0.1197549133
121	0.1186645705
122	0.1172923309
123	0.1159481949
124	0.1146053517
125	0.1132207361
126	0.1119253183
127	0.1106620339
128	0.1094111783
129	0.10863921
130	0.1077231399
131	0.1063815102
132	0.1056787615
133	0.1047057399
134	0.1034604654
135	0.1023149494
136	0.1011454236
137	0.1000854404
138	0.09912301862
139	0.09805555977
140	0.09704469375
141	0.09631391552
142	0.09554960571
143	0.0947029363
144	0.09386808819
145	0.09294844376
146	0.09208231654
147	0.09138659907
148	0.0905449783
149	0.08984682291
150	0.0895154017
151	0.08885780172
152	0.08834375394
153	0.08761545289
154	0.0867649101
155	0.0858234364
156	0.08514292551
157	0.0844217156
158	0.08384012298
159	0.08325715243
160	0.08267819494
161	0.08213334045
162	0.08152053739
163	0.08091136548
164	0.08037589299
165	0.07979026558
166	0.07919490446
167	0.07890775591
168	0.07809431484
169	0.07755207157
170	0.07727882282
171	0.07672719784
172	0.07621902631
173	0.07578155809
174	0.07505696498
175	0.0745914106
176	0.07384688603
177	0.07336347776
178	0.07303792525
179	0.07250232238
180	0.07206775096
181	0.07172445212
182	0.07118006546
183	0.07079472592
184	0.0702166692
185	0.06961404193
186	0.06915389953
187	0.06853943326
188	0.06815215116
189	0.06774813078
190	0.06733532885
191	0.06698104292
192	0.06647178588
193	0.06615398306
194	0.06572186837
195	0.0653153409
196	0.06485061186
197	0.06437405075
198	0.06397019614
199	0.0635429917
200	0.06326670475
201	0.06290471224
202	0.06254665178
203	0.06202020598
