iter	Passed	Remaining
365	8427	14597
366	8447	14569
367	8471	14548
368	8492	14521
369	8518	14504
370	8539	14477
371	8558	14447
372	8580	14423
373	8603	14401
374	8636	14393
375	8659	14370
376	8683	14349
377	8709	14331
378	8737	14315
379	8765	14301
380	8788	14278
381	8818	14267
382	8838	14239
383	8859	14212
384	8881	14187
385	8907	14169
386	8928	14143
387	8948	14113
388	8966	14083
389	8991	14063
390	9013	14038
391	9032	14009
392	9056	13987
393	9075	13959
394	9103	13943
395	9129	13924
396	9152	13901
397	9174	13876
398	9203	13863
399	9222	13833
400	9241	13804
401	9259	13774
402	9281	13749
403	9307	13731
404	9333	13712
405	9358	13692
406	9389	13680
407	9420	13668
408	9442	13644
409	9470	13627
410	9503	13618
411	9526	13595
412	9550	13574
413	9573	13550
414	9602	13535
415	9623	13510
416	9647	13487
417	9665	13458
418	9686	13431
419	9714	13415
420	9733	13386
421	9753	13359
422	9775	13333
423	9798	13311
424	9820	13286
425	9844	13264
426	9863	13236
427	9883	13208
428	9911	13192
429	9930	13164
430	9950	13136
431	9977	13118
432	9998	13092
433	10023	13072
434	10042	13043
435	10063	13017
436	10088	12997
437	10115	12979
438	10137	12954
439	10158	12928
440	10182	12907
441	10209	12889
442	10231	12864
443	10254	12841
444	10274	12814
445	10302	12797
446	10320	12768
447	10339	12739
448	10367	12722
449	10394	12704
450	10412	12675
451	10431	12647
452	10456	12626
453	10480	12603
454	10503	12581
455	10522	12553
456	10541	12525
457	10561	12497
458	10587	12478
459	10609	12454
460	10634	12433
461	10660	12413
462	10690	12398
463	10711	12373
464	10730	12346
465	10760	12331
466	10793	12318
467	10816	12295
468	10837	12270
469	10862	12249
470	10890	12231
471	10910	12204
472	10929	12177
473	10949	12151
474	10970	12124
475	10994	12103
476	11013	12075
477	11031	12047
478	11055	12024
479	11077	12000
480	11102	11979
481	11124	11955
482	11143	11928
483	11165	11903
484	11191	11883
485	11213	11859
486	11232	11832
487	11251	11804
488	11278	11785
489	11299	11760
490	11317	11732
491	11339	11708
492	11351	11674
493	11383	11660
494	11407	11638
495	11430	11614
496	11451	11589
497	11482	11574
498	11507	11553
499	11528	11528
500	11549	11503
501	11575	11483
502	11597	11459
503	11621	11436
504	11640	11409
505	11664	11387
506	11682	11360
507	11704	11335
508	11724	11309
509	11743	11282
510	11769	11263
511	11790	11238
512	11809	11210
513	11829	11184
514	11852	11162
515	11875	11138
516	11900	11118
517	11922	11093
518	11948	11073
519	11970	11049
520	11991	11025
521	12011	10998
522	12037	10978
523	12068	10962
524	12091	10939
525	12120	10922
526	12151	10906
527	12181	10889
528	12207	10868
529	12233	10848
530	12261	10830
531	12286	10808
532	12313	10789
533	12333	10762
534	12361	10744
535	12384	10720
536	12405	10696
537	12417	10663
538	12444	10643
539	12467	10620
540	12485	10593
541	12506	10567
542	12527	10543
543	12550	10520
544	12572	10496
545	12592	10471
546	12613	10446
547	12634	10421
548	12658	10399
549	12682	10376
550	12701	10350
551	12720	10324
552	12740	10298
553	12762	10274
554	12786	10251
555	12807	10227
556	12833	10206
557	12865	10190
558	12891	10170
559	12915	10147
560	12939	10125
561	12973	10111
562	12998	10089
563	13021	10066
564	13050	10047
565	13078	10028
566	13102	10005
567	13125	9982
568	13152	9962
569	13178	9941
570	13199	9917
571	13218	9890
572	13244	9869
573	13266	9845
574	13290	9823
575	13310	9797
576	13329	9772
577	13351	9747
578	13374	9724
579	13396	9700
580	13420	9678
581	13442	9654
582	13466	9632
583	13488	9608
584	13508	9582
585	13528	9557
586	13550	9533
587	13574	9511
588	13598	9488
589	13618	9463
590	13652	9448
591	13675	9424
592	13696	9400
593	13719	9377
594	13744	9355
595	13771	9335
596	13791	9309
597	13816	9288
598	13839	9264
599	13868	9245
600	13890	9221
601	13913	9198
602	13934	9174
603	13955	9149
604	13976	9124
605	13997	9100
606	14019	9076
607	14031	9046
608	14056	9025
609	14075	8999
610	14094	8973
611	14116	8949
612	14144	8929
613	14165	8905
614	14183	8879
615	14205	8855
616	14227	8831
617	14248	8807
618	14270	8783
619	14291	8759
620	14312	8734
621	14339	8714
622	14360	8690
623	14383	8666
624	14409	8645
625	14436	8624
626	14460	8602
627	14483	8579
628	14505	8555
629	14534	8536
630	14553	8510
631	14573	8485
632	14592	8460
633	14616	8437
634	14640	8415
635	14661	8390
636	14682	8367
637	14702	8342
638	14727	8320
639	14746	8295
640	14767	8270
641	14786	8245
642	14806	8220
643	14830	8198
644	14850	8173
645	14872	8149
646	14891	8124
647	14919	8104
648	14939	8079
649	14969	8060
650	14991	8036
651	15017	8015
652	15044	7994
653	15065	7970
654	15085	7946
655	15114	7925
656	15139	7903
657	15158	7878
658	15178	7854
659	15206	7833
660	15224	7808
661	15243	7782
662	15261	7757
663	15280	7732
664	15306	7710
665	15326	7686
666	15347	7662
667	15367	7637
668	15392	7615
669	15418	7594
670	15436	7568
671	15456	7544
672	15478	7520
673	15506	7500
674	15533	7479
675	15558	7457
676	15583	7434
677	15610	7413
678	15639	7393
679	15663	7371
680	15685	7347
681	15709	7324
682	15735	7303
683	15756	7279
684	15775	7254
685	15795	7230
686	15819	7207
687	15838	7182
688	15857	7157
689	15880	7134
690	15902	7111
691	15928	7089
692	15947	7064
693	15955	7034
694	15978	7012
695	16005	6990
696	16026	6967
697	16046	6942
698	16064	6917
699	16084	6893
700	16115	6873
701	16134	6848
702	16158	6826
703	16178	6802
704	16202	6779
705	16227	6757
706	16248	6733
707	16273	6711
708	16299	6689
709	16323	6667
710	16344	6643
711	16373	6622
712	16396	6600
713	16416	6575
714	16436	6551
715	16455	6527
716	16473	6502
717	16503	6481
718	16523	6457
719	16542	6433
720	16593	6421
721	16642	6408
722	16681	6391
723	16722	6375
724	16758	6356
725	16821	6348
726	16867	6334
727	16913	6319
728	16962	6305
729	16987	6283
730	17049	6274
731	17101	6261
732	17158	6250
733	17199	6233
734	17218	6207
735	17244	6185
736	17266	6161
737	17286	6137
738	17307	6112
739	17326	6087
740	17353	6065
741	17387	6045
742	17410	6022
743	17431	5998
744	17456	5975
745	17476	5950
746	17500	5927
747	17520	5902
748	17542	5878
749	17562	5854
750	17586	5831
751	17610	5807
752	17638	5785
753	17664	5763
754	17687	5739
755	17723	5720
756	17781	5707
757	17818	5688
758	17871	5674
759	17922	5659
760	17964	5641
761	18006	5624
762	18045	5605
763	18090	5588
764	18122	5567
765	18185	5555
766	18225	5536
767	18250	5513
768	18274	5489
769	18298	5465
770	18320	5441
771	18345	5418
772	18378	5396
773	18400	5372
774	18421	5348
775	18445	5324
776	18473	5301
777	18492	5276
778	18513	5252
779	18532	5227
780	18562	5204
781	18580	5179
782	18602	5155
783	18622	5130
784	18645	5106
785	18665	5082
786	18687	5057
787	18705	5032
788	18727	5008
789	18753	4985
790	18776	4961
791	18796	4936
792	18816	4911
793	18837	4887
794	18858	4862
795	18883	4839
796	18907	4815
797	18932	4792
798	18959	4769
799	18988	4747
800	19013	4723
801	19039	4700
802	19071	4678
803	19095	4655
804	19120	4631
805	19150	4609
806	19174	4585
807	19199	4562
808	19221	4538
809	19244	4514
810	19269	4490
811	19290	4466
812	19308	4441
813	19330	4416
814	19354	4393
815	19375	4369
816	19398	4345
817	19416	4320
818	19436	4295
819	19459	4271
820	19483	4247
821	19503	4223
822	19526	4199
823	19551	4175
824	19575	4152
825	19596	4127
826	19615	4103
827	19636	4079
828	19666	4056
829	19691	4033
830	19726	4011
831	19761	3990
832	19789	3967
833	19812	3943
834	19841	3920
835	19868	3897
836	19894	3874
837	19914	3849
838	19935	3825
839	19959	3801
840	19984	3778
841	20008	3754
842	20030	3730
843	20059	3707
844	20078	3682
845	20097	3658
846	20116	3633
847	20140	3610
848	20162	3586
849	20183	3561
850	20202	3537
851	20221	3512
852	20246	3489
853	20267	3464
854	20290	3441
855	20309	3416
856	20329	3392
857	20359	3369
858	20383	3345
859	20404	3321
860	20422	3297
861	20455	3274
862	20477	3250
863	20503	3227
864	20526	3203
865	20556	3180
866	20587	3158
867	20617	3135
868	20650	3113
869	20674	3089
870	20699	3065
871	20721	3041
872	20749	3018
873	20771	2994
874	20797	2971
875	20815	2946
876	20838	2922
877	20862	2898
878	20883	2874
879	20903	2850
880	20925	2826
881	20949	2802
882	20970	2778
883	20990	2754
884	21009	2730
885	21031	2706
886	21054	2682
887	21076	2658
888	21096	2634
889	21116	2609
890	21144	2586
891	21164	2562
892	21183	2538
893	21206	2514
894	21229	2490
895	21257	2467
896	21279	2443
897	21303	2419
898	21327	2396
899	21358	2373
900	21378	2349
901	21401	2325
902	21424	2301
903	21451	2278
904	21471	2253
905	21490	2229
906	21510	2205
907	21532	2181
908	21559	2158
909	21579	2134
910	21603	2110
911	21624	2086
912	21645	2062
913	21664	2038
914	21686	2014
915	21707	1990
916	21728	1966
917	21752	1943
918	21773	1919
919	21799	1895
920	21819	1871
921	21840	1847
922	21872	1824
923	21898	1801
924	21928	1777
925	21953	1754
926	21979	1730
927	22004	1707
928	22031	1683
929	22063	1660
930	22084	1636
931	22113	1613
932	22144	1590
933	22171	1566
934	22190	1542
935	22211	1518
936	22240	1495
937	22265	1471
938	22288	1447
939	22312	1424
940	22340	1400
941	22362	1376
942	22382	1352
943	22403	1329
944	22430	1305
945	22451	1281
946	22472	1257
947	22497	1234
948	22521	1210
949	22543	1186
950	22563	1162
951	22582	1138
952	22601	1114
953	22623	1090
954	22645	1067
955	22666	1043
956	22687	1019
957	22707	995
958	22734	971
959	22754	948
960	22777	924
961	22803	900
962	22832	877
963	22854	853
964	22876	829
965	22898	805
966	22927	782
967	22947	758
968	22969	734
969	22993	711
970	23020	687
971	23047	663
972	23071	640
973	23096	616
974	23122	592
975	23144	569
976	23164	545
977	23184	521
978	23207	497
979	23231	474
980	23254	450
981	23273	426
982	23290	402
983	23320	379
984	23341	355
985	23363	331
986	23383	307
987	23405	284
988	23427	260
989	23448	236
990	23468	213
991	23489	189
992	23512	165
993	23535	142
994	23555	118
995	23578	94
996	23606	71
997	23627	47
998	23648	23
999	23669	0
